Name,x1st.day,x2nd.day,x3rd.day,x4th.day,x5th.day,x6th.day,x7th.day,x8th.day,x9th.day,x10th.day,x11th.day,x12th.day,x13th.day,x14th.day,x15th.day,x16th.day,x17th.day,x18th.day,x19th.day,x20th.day,x21st.day,x22nd.day,x23rd.day,x24th.day,x25th.day,x26th.day,x27th.day,x28th.day,x29th.day,x30th.day,x31st.day,x32nd.day,x33rd.day,x34th.day,x35th.day,x36th.day,x37th.day,x38th.day,x39th.day,x40th.day,x41st.day,x42nd.day,x43rd.day,x44th.day,x45th.day,x46th.day,x47th.day,x48th.day,x49th.day,x50th.day,x51st.day,x52nd.day,x53rd.day,x54th.day,x55th.day,x56th.day,x57th.day,x58th.day,x59th.day,x60th.day,x61st.day,x62nd.day,x63rd.day,x64th.day,x65th.day,x66th.day,x67th.day,x68th.day,x69th.day,x70th.day,x71st.day,x72nd.day,x73rd.day,x74th.day,x75th.day,x76th.day,x77th.day,x78th.day,x79th.day,x80th.day,x81st.day,x82nd.day
3M Company,-0.70%,0.10%,2.20%,0.00%,1.20%,-0.60%,-0.80%,1.60%,-1.40%,0.50%,-0.70%,1.10%,-0.60%,-0.50%,-0.80%,1.10%,-1.30%,0.80%,-2.30%,-0.60%,0.40%,3.30%,0.10%,3.10%,0.40%,-0.20%,0.70%,2.90%,-2.80%,1.30%,-0.40%,-0.10%,-0.90%,-0.40%,0.60%,2.20%,0.10%,0.10%,-1.10%,0.70%,-1.40%,0.90%,0.10%,0.20%,0.30%,-3.50%,0.80%,0.00%,-0.10%,-0.10%,-1.50%,-1.60%,-2.20%,3.20%,0.10%,-0.70%,-0.90%,1.00%,-1.10%,-1.60%,-1.10%,1.30%,-0.20%,1.30%,-0.80%,-0.30%,2.20%,-0.30%,-1.20%,0.60%,-1.20%,1.20%,-1.00%,0.00%,2.10%,-0.90%,-1.40%,2.60%,-1.20%,0.90%,0.60%,-1.10%
Abbott Laboratories,-2.10%,-1.50%,2.70%,0.00%,2.20%,-2.20%,-1.70%,-0.30%,-2.00%,0.90%,0.00%,2.40%,0.30%,-1.70%,1.20%,1.40%,-2.00%,0.70%,-2.70%,0.80%,0.50%,2.70%,-1.90%,3.90%,2.30%,2.00%,-1.00%,4.10%,-2.40%,1.60%,-0.30%,-0.80%,-0.80%,-1.60%,3.50%,3.70%,-2.40%,2.00%,0.00%,-0.60%,0.70%,-0.20%,-2.50%,2.60%,-1.40%,-2.20%,2.50%,0.00%,-1.70%,1.90%,0.50%,0.10%,-1.10%,1.70%,1.10%,0.00%,1.50%,2.60%,-1.90%,2.10%,0.70%,0.40%,1.20%,-0.40%,0.60%,-0.90%,1.90%,-2.00%,-4.20%,-0.60%,1.00%,1.30%,0.30%,0.00%,2.00%,1.40%,0.60%,1.70%,-1.40%,0.30%,1.40%,1.30%
Accenture Plc Class A,-4.90%,0.30%,3.90%,0.00%,4.80%,0.00%,-2.50%,0.30%,-3.10%,4.40%,-1.50%,-3.80%,2.30%,2.40%,-0.60%,1.00%,1.60%,-1.40%,-3.80%,-6.80%,-2.70%,0.30%,5.40%,4.30%,3.00%,-1.70%,-0.10%,3.20%,0.10%,-0.90%,-0.70%,0.30%,-0.10%,-1.10%,-3.40%,4.90%,-0.70%,-2.10%,-0.20%,-2.20%,-4.60%,1.50%,-2.60%,6.00%,-1.10%,-2.20%,2.40%,0.00%,1.70%,5.80%,1.10%,-2.10%,-0.50%,1.00%,0.00%,1.50%,1.00%,3.20%,-0.50%,0.50%,0.50%,-1.90%,2.40%,-0.90%,0.00%,1.70%,1.60%,1.20%,-2.30%,-1.50%,-3.00%,2.80%,3.50%,0.00%,-3.70%,-0.90%,2.10%,3.70%,-0.20%,-1.60%,7.70%,-0.50%
"Activision Blizzard, Inc.",-2.00%,-0.60%,4.50%,0.00%,3.40%,0.00%,-2.30%,2.40%,-3.10%,0.00%,-1.40%,1.70%,2.20%,-1.30%,-0.50%,-1.00%,2.40%,1.00%,-1.70%,0.10%,0.30%,-0.50%,-0.20%,4.20%,-2.60%,-0.90%,1.40%,-0.10%,-3.20%,1.60%,0.10%,0.20%,0.10%,-2.00%,0.30%,0.70%,-1.40%,-0.80%,-0.30%,-1.00%,-1.80%,-0.30%,-0.90%,2.80%,-0.80%,0.80%,2.40%,0.00%,-0.20%,5.20%,3.30%,-0.20%,-1.00%,2.10%,-2.80%,0.10%,2.70%,2.40%,4.20%,5.20%,2.40%,-2.80%,-3.80%,0.00%,-0.30%,0.40%,-0.30%,-1.50%,-4.20%,-0.90%,0.80%,0.80%,0.70%,0.00%,2.00%,0.90%,-0.50%,2.70%,-0.60%,1.20%,2.80%,2.00%
"Acuity Brands, Inc.",-3.10%,2.00%,2.00%,0.00%,3.10%,-3.40%,-1.00%,0.40%,-4.00%,1.60%,-2.30%,2.80%,5.10%,1.10%,-3.30%,4.20%,-3.70%,1.30%,-0.80%,-1.50%,1.50%,1.10%,-0.20%,2.00%,-2.40%,-0.60%,0.80%,6.10%,-5.40%,4.60%,-1.20%,-1.90%,1.20%,-1.00%,9.10%,-2.30%,-0.50%,-1.60%,2.00%,1.00%,-2.60%,2.60%,0.10%,0.80%,0.00%,1.00%,-2.00%,0.00%,-1.40%,-0.40%,-0.40%,0.60%,2.30%,3.40%,-0.20%,1.30%,-1.50%,0.70%,0.50%,0.50%,0.60%,-0.90%,2.60%,0.60%,-0.10%,-0.60%,2.80%,-3.30%,0.60%,-1.30%,-0.30%,0.90%,0.30%,0.00%,1.60%,1.60%,-1.90%,5.20%,1.00%,2.70%,1.40%,0.10%
Adobe Systems Incorporated,0.30%,0.60%,1.90%,0.00%,3.40%,-0.40%,0.40%,2.60%,-2.60%,-0.30%,-4.20%,0.50%,1.10%,-2.70%,-1.20%,-1.90%,3.00%,1.10%,-1.50%,0.10%,3.20%,3.70%,8.00%,4.50%,0.00%,2.60%,3.20%,-5.90%,-4.70%,3.70%,0.90%,-1.40%,0.90%,-3.00%,-0.70%,7.40%,0.50%,-2.50%,2.90%,-2.20%,-1.60%,1.70%,-0.10%,3.50%,1.10%,-2.00%,4.70%,0.00%,-0.10%,1.60%,0.90%,0.40%,-3.10%,1.40%,0.40%,-2.00%,6.30%,3.30%,-0.60%,-0.60%,-1.50%,-2.50%,1.70%,1.50%,-1.60%,-0.70%,0.40%,-1.20%,-6.60%,-0.20%,0.60%,3.00%,-0.20%,0.00%,2.10%,0.90%,-1.30%,0.30%,-0.80%,-0.30%,6.20%,1.40%
"Advance Auto Parts, Inc.",-2.30%,2.00%,1.90%,0.00%,0.20%,-2.30%,-1.40%,-0.10%,-2.10%,-1.20%,1.60%,1.30%,0.90%,0.40%,-1.80%,1.00%,-0.70%,1.80%,0.10%,1.00%,0.60%,4.70%,3.50%,1.30%,0.50%,2.70%,-1.20%,2.30%,-1.00%,1.80%,0.70%,-0.10%,0.10%,-0.30%,-0.50%,2.60%,1.30%,0.90%,0.50%,-1.00%,-3.10%,1.50%,-0.30%,1.80%,-0.20%,-2.10%,1.80%,0.00%,0.60%,3.30%,1.80%,-0.50%,-0.40%,0.20%,0.90%,-1.50%,-1.20%,2.00%,2.20%,2.00%,-1.00%,1.10%,1.90%,1.40%,-2.20%,-1.30%,12.10%,3.40%,-0.80%,-1.40%,0.80%,0.90%,0.50%,0.00%,-0.80%,-0.20%,-1.30%,0.60%,4.40%,-1.80%,-1.60%,0.30%
AES Corporation,-4.40%,19.80%,-5.60%,0.00%,-1.90%,-0.60%,5.10%,4.00%,-2.30%,-3.00%,2.50%,-4.50%,5.10%,1.80%,-3.30%,0.90%,0.00%,-2.10%,-1.50%,-0.30%,-4.10%,5.30%,-2.50%,1.90%,6.00%,0.60%,-5.00%,2.80%,-0.90%,12.20%,-3.00%,1.70%,-0.30%,0.00%,3.60%,4.00%,2.60%,17.50%,1.70%,-4.80%,-2.00%,-2.50%,-1.40%,3.50%,0.20%,-0.90%,1.10%,0.00%,3.60%,8.20%,-0.80%,8.50%,1.30%,3.90%,5.80%,0.30%,-0.80%,15.60%,-6.10%,-4.60%,1.30%,-0.20%,5.00%,6.10%,-3.60%,1.30%,2.10%,6.60%,-1.40%,1.20%,-6.50%,2.00%,4.00%,0.00%,8.30%,-3.50%,3.70%,-0.10%,2.30%,0.00%,2.50%,0.80%
Aetna Inc.,-4.10%,-0.30%,-0.70%,0.00%,2.10%,-0.10%,0.00%,1.60%,-2.50%,1.90%,-1.70%,0.30%,0.60%,-0.50%,-0.70%,0.90%,0.50%,2.40%,-0.60%,-4.00%,4.00%,6.40%,-1.70%,4.50%,-0.30%,0.30%,0.30%,1.20%,-2.60%,3.60%,0.90%,2.00%,0.40%,-0.70%,-0.80%,1.10%,-0.10%,-2.10%,1.20%,-0.10%,-1.30%,-1.10%,0.70%,2.70%,0.60%,-5.40%,2.50%,0.00%,-1.50%,2.70%,-0.70%,1.10%,-1.00%,0.60%,0.10%,2.10%,1.50%,1.30%,1.00%,0.30%,0.30%,0.50%,1.40%,0.30%,1.10%,0.00%,0.30%,2.90%,-1.90%,3.60%,1.60%,-0.60%,0.80%,0.00%,-0.10%,-1.40%,-0.20%,1.80%,-0.60%,-0.70%,2.20%,3.40%
"Affiliated Managers Group, Inc.",-1.10%,-0.10%,0.50%,0.00%,2.40%,-3.50%,-0.80%,0.00%,-0.30%,-0.10%,-1.80%,-0.60%,-0.30%,-1.10%,-1.70%,-0.90%,-1.40%,0.30%,-4.30%,-3.30%,-1.10%,8.00%,-0.60%,4.30%,2.90%,-0.50%,2.20%,2.30%,-4.50%,1.50%,1.20%,-1.20%,-1.20%,-2.20%,2.10%,6.80%,0.40%,-0.70%,1.00%,-1.20%,-0.10%,-0.40%,-1.00%,1.90%,2.00%,0.20%,-0.40%,0.00%,-0.80%,3.50%,-1.20%,-2.40%,-1.90%,1.70%,0.90%,1.00%,-1.10%,1.90%,0.30%,0.80%,1.00%,-1.20%,0.00%,2.00%,-1.40%,-0.40%,3.10%,0.70%,-1.90%,-0.40%,1.00%,0.90%,1.30%,0.00%,1.00%,4.90%,1.40%,3.80%,4.40%,0.10%,3.10%,0.40%
Aflac Incorporated,-1.50%,-0.70%,2.70%,0.00%,0.40%,-0.30%,-1.90%,1.40%,-1.50%,0.50%,-1.50%,0.50%,1.80%,-0.80%,-0.80%,2.40%,-1.80%,2.20%,-3.20%,-1.30%,-0.30%,3.90%,0.80%,4.70%,-0.30%,1.90%,-1.60%,1.20%,-3.80%,1.90%,-2.00%,-0.70%,0.60%,0.10%,1.30%,1.60%,0.00%,0.80%,1.40%,0.70%,-2.20%,2.90%,-1.20%,1.30%,3.00%,-1.80%,0.40%,0.00%,-0.40%,1.20%,-0.40%,-11.50%,0.30%,2.00%,0.80%,2.50%,-0.60%,1.50%,-0.30%,0.80%,-1.70%,-1.00%,1.30%,1.80%,-1.40%,0.20%,0.50%,0.10%,-2.80%,-0.70%,0.70%,0.80%,0.90%,0.00%,0.40%,0.30%,-1.30%,1.40%,-0.90%,-1.50%,1.10%,-0.50%
"Agilent Technologies, Inc.",3.20%,0.20%,0.30%,0.00%,1.70%,-1.30%,0.60%,6.70%,-3.40%,1.50%,-2.90%,2.30%,0.80%,-1.40%,-1.30%,1.40%,0.20%,2.50%,-3.40%,-2.90%,-1.20%,5.00%,2.80%,5.00%,5.30%,-0.90%,1.20%,-0.20%,-3.60%,-0.40%,-1.10%,0.70%,-1.60%,-5.50%,2.70%,6.40%,0.30%,-0.30%,-0.60%,0.30%,-4.10%,2.50%,-0.60%,0.80%,0.60%,3.00%,2.30%,0.00%,2.30%,1.60%,4.60%,-2.00%,-1.80%,2.50%,0.60%,-0.60%,1.10%,0.40%,-1.50%,0.40%,-0.50%,0.20%,1.90%,-0.20%,-0.40%,0.30%,2.60%,-1.20%,-6.10%,3.40%,-1.20%,2.00%,0.60%,0.00%,5.50%,2.90%,-0.10%,2.80%,3.30%,1.70%,4.50%,-1.30%
"Air Products and Chemicals, Inc.",-0.90%,0.20%,0.50%,0.00%,-1.40%,-2.10%,-1.20%,0.90%,-1.50%,0.30%,-0.90%,1.30%,0.60%,0.40%,-2.00%,0.50%,-1.20%,1.60%,-1.10%,-1.30%,-0.20%,5.10%,0.20%,4.90%,1.70%,0.00%,0.10%,1.80%,-3.50%,1.20%,0.00%,-0.80%,0.00%,-0.50%,1.50%,2.70%,-2.00%,0.80%,-0.10%,-2.10%,-1.80%,0.60%,-0.90%,2.10%,1.90%,-2.00%,1.70%,0.00%,-0.50%,2.00%,0.60%,-0.90%,-3.60%,2.30%,0.90%,1.10%,-0.70%,0.80%,0.00%,0.20%,-1.20%,-0.80%,1.50%,1.90%,0.40%,-0.50%,0.80%,-0.50%,-2.80%,-0.20%,-0.10%,0.50%,-0.90%,0.00%,1.80%,-0.30%,-1.70%,3.40%,0.40%,-1.10%,1.40%,-0.70%
"Akamai Technologies, Inc.",-3.10%,0.00%,8.10%,0.00%,7.50%,0.70%,-4.10%,5.70%,-4.10%,10.00%,3.90%,-1.30%,-3.20%,-2.00%,-6.70%,0.00%,-5.00%,2.30%,-2.90%,0.80%,-0.80%,5.30%,-2.20%,8.80%,4.70%,-3.20%,0.00%,-3.30%,-6.20%,3.70%,-3.50%,6.60%,2.80%,-5.40%,0.00%,6.40%,-3.30%,-1.40%,4.20%,0.00%,-2.70%,-2.80%,-0.70%,1.40%,-1.40%,0.00%,3.60%,0.00%,14.50%,21.70%,35.60%,-20.80%,6.00%,6.50%,-1.20%,0.00%,-1.20%,7.10%,27.30%,0.30%,7.00%,-0.60%,-4.60%,5.10%,5.10%,4.40%,-3.10%,-9.20%,-11.00%,11.00%,2.20%,7.00%,0.00%,0.00%,3.00%,-2.10%,-0.50%,0.30%,0.80%,-2.40%,8.30%,14.60%
"Alaska Air Group, Inc.",-1.60%,-4.50%,2.90%,0.00%,1.70%,-2.90%,1.60%,1.50%,-6.20%,4.30%,-0.40%,-2.00%,2.80%,5.60%,-5.40%,2.50%,-1.10%,3.90%,-3.70%,-6.20%,1.20%,5.70%,2.70%,1.30%,-10.70%,-4.30%,-0.20%,9.30%,-6.50%,1.90%,-1.30%,-2.50%,-2.60%,-2.00%,0.80%,6.00%,-1.70%,1.30%,1.30%,-4.60%,0.70%,-1.70%,-1.20%,1.50%,2.30%,-3.30%,3.10%,0.00%,-0.90%,2.00%,5.00%,1.80%,-2.90%,3.70%,-0.70%,1.10%,-0.70%,11.60%,-0.10%,0.10%,-3.60%,0.10%,1.20%,1.20%,0.70%,-2.80%,0.00%,-2.30%,-2.80%,-1.10%,-2.50%,3.20%,0.90%,0.00%,5.40%,-3.50%,-0.40%,3.00%,3.60%,-3.50%,3.70%,1.00%
Albemarle Corporation,-0.70%,0.90%,-0.50%,0.00%,-0.30%,-0.70%,-2.40%,2.40%,-3.20%,0.80%,-1.60%,-0.20%,3.10%,-1.60%,-3.40%,-0.70%,-0.30%,-0.80%,-1.20%,-0.40%,-1.00%,4.40%,-1.50%,3.10%,3.10%,0.00%,-0.40%,5.30%,-3.80%,-2.40%,1.50%,-1.40%,0.70%,0.70%,-0.10%,2.40%,-0.90%,-1.70%,2.30%,-1.00%,-1.60%,0.70%,-1.10%,2.20%,0.30%,0.20%,-0.30%,0.00%,-0.10%,2.10%,-0.10%,3.10%,-0.80%,3.10%,0.10%,2.00%,-3.20%,1.90%,0.60%,-0.40%,-0.80%,-2.00%,1.90%,1.90%,-1.40%,-1.40%,-0.70%,-0.20%,-0.80%,0.50%,-1.20%,0.80%,0.20%,0.00%,1.60%,0.40%,-0.80%,2.30%,0.80%,0.50%,1.70%,-0.30%
"Alexion Pharmaceuticals, Inc.",-1.00%,1.50%,-0.20%,0.00%,3.10%,-1.50%,0.40%,1.90%,-1.80%,0.40%,-2.40%,0.30%,-1.90%,2.70%,-5.00%,-2.10%,0.90%,-2.50%,1.20%,5.20%,-4.40%,1.20%,0.00%,10.60%,7.50%,1.20%,5.10%,-0.30%,-1.80%,-2.00%,-3.00%,-1.60%,0.20%,-1.60%,4.90%,6.70%,4.70%,-1.00%,-7.50%,1.20%,-1.10%,-0.50%,0.50%,0.40%,1.50%,-4.40%,4.00%,0.00%,-2.30%,4.70%,3.80%,-4.90%,-3.40%,3.80%,-1.20%,-0.70%,2.60%,3.00%,-2.10%,-1.60%,-3.60%,0.60%,1.70%,2.40%,3.90%,1.30%,-0.70%,-2.10%,-0.80%,-1.70%,0.30%,-1.90%,-0.60%,0.00%,7.60%,-2.30%,-1.30%,2.30%,0.60%,4.20%,3.90%,13.70%
Allergan plc,-1.70%,-2.10%,1.80%,0.00%,2.50%,-1.40%,-0.50%,1.10%,-1.70%,0.70%,-3.00%,9.60%,1.20%,-1.60%,-7.40%,-0.10%,1.20%,0.70%,-2.00%,-2.50%,-0.90%,2.00%,-2.60%,2.30%,0.80%,1.30%,-0.30%,4.10%,-3.70%,3.40%,-1.00%,1.80%,-1.00%,-1.30%,-0.10%,2.30%,-0.10%,-0.60%,-1.50%,-1.20%,-1.50%,-0.50%,1.50%,2.40%,1.80%,-4.10%,0.40%,0.00%,-0.90%,1.80%,3.10%,-0.40%,-2.00%,-1.10%,1.30%,0.70%,-1.10%,0.70%,3.80%,10.30%,6.70%,0.50%,-0.10%,1.00%,1.60%,0.10%,-0.50%,1.50%,-2.40%,-3.10%,2.20%,1.90%,0.90%,0.00%,1.40%,-0.40%,-1.10%,1.30%,0.00%,2.40%,1.00%,3.10%
Alliance Data Systems Corporation,-2.30%,-0.80%,2.10%,0.00%,4.00%,-2.20%,-1.10%,4.50%,-4.10%,-0.60%,3.80%,1.70%,-1.40%,-0.30%,-0.30%,-0.10%,-1.50%,-1.80%,-2.80%,-3.50%,-1.10%,3.10%,3.00%,-1.30%,1.90%,2.90%,1.80%,6.50%,-0.70%,-1.80%,-1.20%,-0.80%,1.50%,-0.60%,0.30%,5.00%,-1.00%,0.80%,-4.30%,-4.70%,-1.00%,4.00%,1.20%,2.30%,4.20%,12.50%,1.00%,0.00%,-0.70%,1.30%,1.40%,-4.10%,0.20%,5.60%,-0.90%,-0.70%,0.80%,3.30%,0.00%,2.50%,4.40%,-0.90%,3.20%,-2.80%,-1.00%,0.20%,1.70%,1.00%,-0.20%,-3.10%,-0.70%,3.10%,1.70%,0.00%,0.60%,2.10%,-2.70%,2.90%,-1.60%,-0.80%,2.40%,2.00%
Alliant Energy Corp,-3.70%,1.90%,0.70%,0.00%,1.90%,-0.40%,0.80%,1.30%,-1.20%,1.30%,-2.40%,0.00%,0.40%,1.10%,-0.80%,-0.40%,-0.80%,0.30%,-1.00%,-1.50%,-0.40%,-0.10%,0.90%,1.60%,1.10%,-0.10%,1.30%,1.50%,-1.90%,1.10%,-1.90%,0.40%,1.20%,0.70%,2.10%,-0.40%,-1.00%,0.70%,0.40%,1.20%,2.10%,-0.70%,-0.70%,1.00%,0.10%,0.50%,0.50%,0.00%,-0.40%,1.10%,0.40%,0.20%,0.30%,1.60%,-0.50%,0.30%,-1.70%,1.10%,1.00%,1.10%,-0.30%,-0.90%,0.90%,0.40%,0.20%,0.60%,1.90%,3.30%,-1.40%,0.40%,0.00%,2.00%,5.10%,0.00%,1.80%,-2.20%,-1.60%,1.60%,1.40%,0.10%,1.60%,-1.50%
Allstate Corporation,-1.40%,2.10%,1.20%,0.00%,-1.20%,-0.80%,0.00%,2.30%,-1.10%,1.40%,-2.40%,0.70%,-0.30%,0.80%,-0.20%,1.10%,-0.90%,0.80%,-2.70%,-1.30%,-0.60%,3.40%,0.60%,3.30%,0.80%,0.00%,0.90%,1.00%,-2.90%,0.20%,-0.40%,0.50%,0.20%,0.50%,3.10%,1.50%,0.00%,1.40%,0.00%,0.20%,0.30%,-0.30%,-0.30%,2.50%,-0.10%,1.80%,2.40%,0.00%,-0.50%,2.40%,0.60%,-2.10%,-0.10%,1.20%,-1.60%,1.00%,1.10%,0.40%,-0.80%,-2.80%,-0.30%,-1.80%,0.20%,0.40%,-0.20%,0.30%,0.20%,0.40%,-1.50%,-1.40%,-0.70%,-0.90%,-0.30%,0.00%,0.90%,0.20%,-1.00%,2.80%,0.10%,-0.50%,0.40%,-0.70%
"Altria Group, Inc.",-0.40%,0.20%,1.80%,0.00%,-0.40%,-1.30%,-1.30%,1.60%,-1.00%,2.10%,0.10%,1.70%,-0.10%,0.90%,-0.30%,0.30%,-4.40%,-3.90%,-0.80%,1.50%,-1.10%,0.00%,-2.20%,-0.60%,-6.10%,3.70%,1.40%,2.20%,-4.10%,-0.40%,-0.10%,-0.30%,-3.50%,-6.80%,-6.20%,5.50%,0.20%,-4.70%,2.50%,3.40%,1.00%,-0.70%,1.60%,2.90%,3.10%,-2.30%,1.50%,0.00%,0.60%,1.00%,0.80%,-0.20%,-5.70%,0.50%,-1.10%,-0.10%,-1.00%,1.70%,-0.10%,0.30%,1.10%,-1.10%,2.20%,4.40%,0.20%,0.80%,0.90%,-1.30%,0.70%,4.10%,9.70%,7.20%,3.10%,0.00%,-0.50%,-1.80%,-0.10%,0.00%,2.00%,1.40%,1.10%,0.20%
"Amazon.com, Inc.",1.70%,-5.10%,0.00%,0.00%,6.60%,-0.90%,0.80%,2.00%,0.00%,0.50%,-1.10%,-0.10%,1.80%,-0.90%,2.10%,0.70%,1.20%,1.20%,-0.40%,-0.40%,2.50%,4.50%,1.20%,7.40%,0.90%,-0.90%,3.40%,1.70%,-6.10%,2.60%,3.20%,0.00%,-2.10%,-4.20%,-1.90%,3.30%,1.00%,-1.60%,2.30%,-1.10%,-5.50%,2.40%,0.30%,-2.70%,0.30%,-3.00%,2.50%,0.00%,1.00%,1.30%,-0.60%,-1.20%,15.30%,0.50%,-0.80%,-0.70%,-0.10%,2.70%,1.80%,3.10%,-0.60%,-0.80%,1.70%,2.40%,3.90%,-1.10%,0.10%,1.30%,-4.50%,-0.30%,0.90%,3.90%,-0.80%,0.00%,6.50%,0.00%,2.00%,1.00%,-1.40%,-0.50%,0.50%,0.40%
